592,548
844,715
857,602
847,544
623,423
384,645
297,437
56,891
272,963
477,383
812,791
479,528
392,568
836,925
337,071
648,087
368,02
957,832
140,778
870,87
473,978
800,799
520,461
678,78
720,118
582,639
537,143
758,944
105,521
473,414
186,264
736,774
216,456
135,568
324,018
149,617
222,612
386,616
902,943
449,681
613,359
902,437
99,697
969,06
653,666
170,67
358,21
750,128
607,315
325,363
38,57
634,438
958,988
652,102
635,208
995,161
581,653
414,253
474,466
623,244
338,158
674,11
317,656
778,138
949,196
662,368
13,82
622,097
673,837
971,096
878,976
509,468
55,976
451,604
19,739
441,039
979,282
359,12
480,296
688,118
880,317
918,414
216,064
565,692
865,566
508,265
916,523
921,093
83,575
277,929
9,318
842,667
647,131
841,716
264,289
397,183
552,586
164,02
369,828
146,004
569,677
703,27
288,735
433,962
756,248
396,576
896,592
638,572
891,223
680,952
449,447
978,846
116,699
767,297
411,813
675,396
249,881
313,581
965,881
588,692
659,725
533,501
230,956
394,643
618,423
474,606
470,019
716,301
287,66
383,29
749,618
878,428
102,135
92,298
354,569
551,59
33,574
968,653
320,652
221,431
141,896
97,367
984,435
260,891
537,806
447,703
99,1
352,919
469,714
841,998
904,149
37,868
508,162
166,615
779,123
864,848
411,807
139,569
33,407
982,069
373,697
420,453
50,722
365,866
16,975
230,855
764,011
944,359
749,729
339,171
489,521
338,054
179,199
170,018
463,793
874,223
944,345
608,928
596,704
783,031
500,164
50,621
699,577
992,237
267,934
679,613
864,535
750,589
964,73
554,311
212,398
222,209
218,186
569,944
452,739
970,49
680,227
85,254
56,058
487,434
881,311
976,696
617,377
542,179
854,024
743,067
478,679
677,453
607,536
714,896
469,99
456,216
906,663
137,263
229,02
881,758
904,32
645,383
324,588
519,831
0,628
311,872
425,273
885,798
679,185
456,952
483,687
788,215
229,947
880,73
313,253
957,213
471,518
711,025
153,207
730,424
646,374
214,463
186,277
807,586
747,863
674,117
276,517
174,132
704,716
463,396
840,565
204,183
164,144
124,488
722,355
30,94
746,765
92,748
217,903
749,083
731,552
45,584
209,961
286,292
677,24
63,1
555,016
9,929
833,669
984,785
703,281
181,586
512,063
580,485
787,977
606,876
218,338
455,961
878,231
492,949
715,941
486,799
708,63
498,874
844,293
194,848
773,617
974,013
862,347
780,148
985,981
753,478
4,497
269,639
410,368
428,136
297,822
401,189
120,511
980,224
406,097
569,862
343,972
788,96
411,906
359,774
399,333
301,081
775,407
926,232
325,132
952,053
13,725
533,011
304,77
882,146
250,079
677,089
810,672
432,245
752,42
829,557
379,86
96,727
256,27
591,131
476,055
487,301
458,262
524,456
442,683
852,695
433,283
826,379
509,181
86,788
660,056
206,696
847,778
681,777
178,259
69,373
9,587
892,272
133,37
779,197
925,459
715,044
490,799
469,076
882,518
488,306
414,577
174,959
475,645
783,035
556,43
159,51
143,536
649,681
539,277
325,128
147,392
159,956
129,187
578,903
92,543
910,456
82,882
800,458
877,724
93,399
426,904
473,69
580,699
716,327
27,756
731,636
766,24
9,16
308,796
232,959
503,458
953,59
557,857
97,457
621,951
863,575
157,82
992,908
85,815
94,159
633,628
949,398
936,062
447,424
727,258
742,849
306,033
119,958
443,355
391,356
531,016
845,185
536,401
680,929
609,099
98,945
92,869
55,454
86,326
237,232
839,614
522,033
513,015
649,428
544,068
32,251
580,221
771,253
376,131
491,012
981,115
244,618
374,974
45,99
310,409
831,162
807,638
640,49
368,989
312,065
801,783
70,288
683,241
380,662
633,246
926,665
853,517
497,424
427,554
822,287
738,706
447,414
968,36
363,828
397,924
738,046
449,232
937,348
257,814
381,985
697,968
897,904
121,296
241,992
228,249
489,105
891,95
358,233
385,689
916,058
113,73
631,881
132,272
374,379
324,374
680,748
795,237
503,171
296,449
885,304
351,839
738,237
555,502
201,942
548,633
519,867
348,94
24,75
148,699
131,967
707,994
709,451
611,07
671,292
447,152
696,417
378,131
100,604
960,382
72,895
19,967
979,546
148,274
258,592
215,896
579,406
975,552
273,271
970,455
25,401
888,248
708,505
277,31
894,373
26,524
625,75
329,333
967,924
168,862
901,048
329,253
889,446
512,104
510,348
386,74
530,68
944,622
892,71
677,204
639,341
548,676
272,879
148,543
856,282
635,03
299,71
460,007
24,372
558,53
361,922
502,089
153,405
425,024
906,342
8,622
968,279
690,209
99,115
289,577
539,695
724,671
388,948
227,002
454,647
972,6
833,588
914,962
667,016
440,696
685,813
648,509
29,333
919,79
542,097
991,442
383,519
806,693
461,09
826,227
539,41
887,623
880,886
328,618
404,133
544,98
621,871
379,502
542,922
120,541
680,923
287,829
42,968
116,919
106,036
316,174
246,389
562,952
906,3
580,16
597,886
238,446
580,907
145,16
335,661
625,44
361,076
910,696
878,247
434,039
517,059
474,061
184,907
434,739
187,898
715,672
523,528
320,304
3,997
597,362
649,47
5,378
970,979
663,174
293,327
200,68
925,063
309,607
403,477
633,283
890,238
432,514
928,367
592,456
431,337
592,97
354,133
657,096
652,343
821,591
402,659
37,397
984,999
448,351
937,721
672,637
266,813
564,976
956,889
113,764
272,698
82,335
765,147
21,062
137,241
260,432
871,521
179,773
433,958
325,117
583,107
936,589
940,745
52,848
596,935
891,983
780,399
211,38
764,147
189,684
898,656
8,862
90,097
619,497
382,581
96,241
984,169
896,859
271,058
473,47
479,115
508,457
967,979
99,423
39,857
483,117
458,271
235,403
58,399
123,671
856,344
399,713
381,639
21,399
374,431
661,614
625,07
913,822
671,653
324,726
316,536
833,11
775,405
281,405
713,321
561,029
399,737
530,109
85,606
665,703
29,634
889,959
682,103
891,867
1,029
937,534
958,404
796,524
992,365
355,19
848,019
770,518
720,842
633,373
307,222
537,08
274,085
8,221
24,1
144,265
513,066
222,065
369,856
55,162
911,559
884,773
897,456
332,153
712,199
426,432
301,528
70,349
421,781
388,751
160,927
350,028
95,895
871,392
667,878
192,69
918,987
579,759
455,364
642,501
254,376
551,364
131,26
200,495
514,681
97,277
851,524
395,117
233,159
585,046
746,97
608,003
579,178
170,612
686,081
976,881
608,719
328,966
802,507
836,3
415,549
415,93
936,52
722,267
32,877
425,371
93,001
978,247
575,318
643,858
364,458
667,444
571,336
774,88
900,945
404,991
895,376
65,966
685,791
231,675
538,244
773,216
746,166
721,922
482,294
194,453
205,493
535,778
437,844
974,139
300,426
78,842
726,818
975,102
782,156
247,304
36,075
406,424
877,107
431,568
284,246
935,596
772,117
610,975
2,932
931,391
673,242
224,25
24,483
7,039
927,639
693,408
705,377
596,809
537,709
455,954
600,351
654,897
373,769
668,357
456,621
85,288
233,874
81,112
322,212
